Types,Year/Period,Use,Cultural Significance
Clay_Kadai_Pots,"from the late Anuradhapura Kingdom, around 4th?10th century CE.",Used for frying or preparing curries in large hearth kitchens.,"Archaeological evidence of similar pots has been found in sites like Anuradhapura and Mihintale, where cooking for monks and pilgrims was common"
Clay_Medium_Pots,Widely produced during the Anuradhapura period (6th?10th century CE),"For storing grains, rice, or cooked food in households and monasteries.","Found in ancient household remains and trade hubs, indicating their everyday utility."
Clay_Mini_Pots,"Used in rituals and ceremonies during both Anuradhapura and Polonnaruwa periods, as early as the 3rd century BCE.",Often used in offerings to Buddhist stupas or Hindu temples.,Found in temple ruins such as Ruwanwelisaya and Thuparamaya.
Clay_Plates,Produced in abundance during the Polonnaruwa Kingdom (12th century CE).,Used to serve food in monasteries and royal households.,"Examples have been unearthed at Alahana Pirivena, where monks dined in groups."
Clay_Rice_Pots,Anuradhapura period (4th?8th century CE).,Essential for cooking large quantities of rice for temple offerings or festivals.,"Large clay pots were discovered near ancient tanks, indicating their role in communal cooking."
Clay_Storage_Pots,"Found in both Anuradhapura and Polonnaruwa archaeological sites, dating back to the 5th century CE","Stored water, oil, or grains.",Decorated pots found in Sigiriya suggest artistic detailing for elite households.
Clay_Tawa_Plates,Introduced during the Polonnaruwa period for preparing flatbreads like roti.,Cooked breads for monks and travelers.,Tawa plates reflect innovations in food preparation during the Polonnaruwa era.
Clay_Tea_Plates,"Polonnaruwa Kingdom, around the 12th century CE.",Used alongside cups in the rising tea culture influenced by Indian traders.,Found in merchant quarters and royal storage facilities.
Clay_Water_Cups,"Predominantly from the Anuradhapura period, as early as the 3rd century BCE.","Provided cool drinking water, especially for monks and travelers.",Cups were placed near tanks and wells as a sign of hospitality.
Clay_Water_Pots,"Both Anuradhapura and Polonnaruwa periods, dating back to 500 CE.","Stored water, often placed in public rest houses.",Seen as an early example of Sri Lanka?s emphasis on public welfare.
Metal_Cups,"Anuradhapura period, around the 8th century CE.",For drinking or holding holy water in religious rituals.,Found in relic chambers of stupas like Ruwanwelisaya.
Metal_Pots,"Common during the Polonnaruwa period, around 11th?12th century CE.",Cooking and temple offerings.,These durable pots were used in large kitchens like those at Gal Vihara.
Metal_Swords,"Polonnaruwa Kingdom, particularly during King Parakramabahu?s reign (1153?1186 CE).",Used by soldiers in battles against South Indian invasions.,Some ceremonial swords were richly decorated and used in royal rituals.
Stone_Moonstone,"A hallmark of Anuradhapura and Polonnaruwa architecture, dating from the 6th?12th century CE.","Symbolic feature at the entrance of temples, representing the cycle of life",Intricate designs depicting animals and lotus flowers signify spiritual progress.
Stone_Sandalwood_Grinder,"Anuradhapura period, as early as the 4th century CE.",To grind sandalwood paste for religious or medicinal purposes.,"Found in monasteries, used for anointing statues or in Ayurvedic treatments."
Stone_Pillars,"Polonnaruwa Kingdom, around the 12th century CE.",Provided support for buildings and pavilions.,Carved stone pillars at Polonnaruwa demonstrate advanced engineering and artistry.
Stone_Vessel_Metal_Base,"Polonnaruwa period, around the 11th century CE.",Used in kitchens and for temple offerings.,A blend of functionality and aesthetics.
Wood_Carved_Coconut_Shell,"Polonnaruwa period, around 12th century CE.",Decorative items or ladles.,Intricate carvings reflected artistic skills of the time.
Wood_Coconut_Shell,"Common during both kingdoms, as early as the 4th century CE.",Everyday items like cups and containers.,Simple and sustainable household tools.
Wood_Sandalwood_Cup,"Anuradhapura period, around the 7th century CE.",Sacred ceremonies or storing aromatic liquids.,Symbol of wealth and spirituality
Wood_Sandalwood_Jar,"Polonnaruwa period, around the 12th century CE.", Stored perfumes or oils.,ften gifted to royalty.
Wood_Cup,"Common during the Anuradhapura period, around 3rd?6th century CE.",Practical for everyday use.,Represented traditional woodworking techniques.
